Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Allow customer reviews?,Regular price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _fluff_homepage_view,Meta: _fluff_spec_fabric,Meta: _fluff_spec_set,Meta: _fluff_spec_fit,Meta: _fluff_spec_top,Meta: _fluff_spec_bottom,Meta: _fluff_spec_details,Meta: _fluff_spec_season,Meta: _fluff_spec_care,Meta: _trendyol,Meta: _Product_Link
variable,1781423829-90,Embroidered Green Cotton Pajama,1,0,visible,"A soft green cotton pajama set with delicate heart embroidery, designed for cozy nights and effortlessly feminine slow mornings.","Bring a fresh, romantic mood to your downtime with this green cotton pajama set. Delicate heart embroidery adds a playful feminine finish, while the easy long-set silhouette keeps the look relaxed and polished. Made for quiet evenings, weekend lounging and unhurried mornings, it is a FLUFF-style essential that balances everyday comfort with charming detail.",taxable,,1,,0,0,1,1299.00,Pajama-Pants-Set,"Cotton, Embroidered, Heart Detail, Long Set, Relaxed Fit, Green, Romantic, Lounge Essential","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423829-90-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423829-90-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423829-90-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423829-90-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423829-90-5.webp",,Size,"XS, S, M, L, XL",1,1,Romantic Details,Cotton,2-piece pajama set,Relaxed,Embroidered detail,Long-length pants,Heart embroidery,All-season / transitional,Follow garment care label,https://www.trendyol.com/bella-notte/nakisli-yesil-pamuklu-kalp-detayli-pijama-takimi-p-887517084,https://www.trendyol.com/bella-notte/nakisli-yesil-pamuklu-kalp-detayli-pijama-takimi-p-887517084
variation,1781423829-90-XS,Embroidered Green Cotton Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1299.00,,,,1781423829-90,Size,XS,,1,,,,,,,,,,,
variation,1781423829-90-S,Embroidered Green Cotton Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1299.00,,,,1781423829-90,Size,S,,1,,,,,,,,,,,
variation,1781423829-90-M,Embroidered Green Cotton Pajama - M,1,0,visible,,,taxable,parent,0,0,0,0,0,1299.00,,,,1781423829-90,Size,M,,1,,,,,,,,,,,
variation,1781423829-90-L,Embroidered Green Cotton Pajama - L,1,0,visible,,,taxable,parent,0,0,0,0,0,1299.00,,,,1781423829-90,Size,L,,1,,,,,,,,,,,
variation,1781423829-90-XL,Embroidered Green Cotton Pajama - XL,1,0,visible,,,taxable,parent,0,0,0,0,0,1299.00,,,,1781423829-90,Size,XL,,1,,,,,,,,,,,
variable,1781423781-72,Off-White Cotton Pajama,1,0,visible,"A refined off-white cotton pajama set with a V-neck, minimal tulip motif and bow detail for understated feminine charm.","Soft, clean and quietly romantic, this off-white cotton pajama set brings an elevated feel to everyday lounging. The V-neckline, minimal tulip-inspired motif and bow detail create a delicate finish without feeling overdone. Its neutral palette makes it easy to love season after season—perfect for calm evenings, relaxed mornings and gifting.",taxable,,1,,0,0,1,1250.00,Pajama-Pants-Set,"Cotton, V-Neck, Bow Detail, Minimal, Off-White, Long Set, Romantic, Giftable","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423781-72-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423781-72-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423781-72-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423781-72-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423781-72-5.webp",,Size,"XS, S, M, L, XL",1,1,Romantic Details,Cotton,2-piece pajama set,Relaxed,V-neck,Coordinated pajama pants,"Minimal tulip motif, bow detail",All-season / transitional,Follow garment care label,https://www.trendyol.com/bella-notte/ekru-minimal-lale-desenli-fiyonk-detayli-v-yaka-pijama-takimi-p-1087831859,https://www.trendyol.com/bella-notte/ekru-minimal-lale-desenli-fiyonk-detayli-v-yaka-pijama-takimi-p-1087831859
variation,1781423781-72-XS,Off-White Cotton Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1250.00,,,,1781423781-72,Size,XS,,1,,,,,,,,,,,
variation,1781423781-72-S,Off-White Cotton Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1781423781-72,Size,S,,1,,,,,,,,,,,
variation,1781423781-72-M,Off-White Cotton Pajama - M,1,0,visible,,,taxable,parent,1,2,0,0,0,1250.00,,,,1781423781-72,Size,M,,1,,,,,,,,,,,
